experiment_mode,strategy,scope,role,member_id,model_type,seed,MSE,MAE,MAPE (%),RMSE,train_loss_final,val_loss_final,runtime_sec,status,error
parallel_independent,ffill,base_members_half1,member,gru_seed0,gru,0.0,0.011694748648628572,0.029805522831805098,3.3280598690294783,0.1081422611592183,0.0006426421208244689,0.00029128207825124264,10.826800359000117,ok,
parallel_independent,ffill,base_members_half1,member,gru_seed1,gru,1.0,0.011930533250026997,0.034832008178085246,3.402019618149886,0.10922698041247408,0.000644042249566147,0.0002910927578341216,10.77936010600024,ok,
parallel_independent,ffill,base_members_half1,member,gru_seed2,gru,2.0,0.012512206467211736,0.04779716721769364,7.77586445102508,0.11185797453562145,0.0006251013702457329,0.0004083255771547556,10.71866040399982,ok,
parallel_independent,ffill,base_members_half1,member,gru_seed3,gru,3.0,0.01219259926118808,0.0338260652946701,2.6053632473109403,0.11042010351918748,0.0006407317555506546,0.0002924931759480387,10.718979993000175,ok,
parallel_independent,ffill,base_members_half1,member,gru_seed4,gru,4.0,0.012031564126506945,0.029708314005989618,3.322976393636265,0.10968848675456758,0.0006407532533091149,0.00029129351605661213,10.545550253000329,ok,
parallel_independent,ffill,base_members_half1,member,rnn_seed0,rnn,0.0,0.01435518941039856,0.07202846303127108,10.892743653487882,0.11981314372972007,0.0006621501872633312,0.0005546887405216694,6.6639002370002345,ok,
parallel_independent,ffill,base_members_half1,member,rnn_seed1,rnn,1.0,0.012396692222018555,0.033901812148564005,3.477538723650054,0.11134043390439322,0.0006614463678987407,0.00030716051696799695,6.356266797999524,ok,
parallel_independent,ffill,base_members_half1,member,rnn_seed2,rnn,2.0,0.01276746264602317,0.04187834671474375,5.146831479173499,0.11299319734401346,0.0006683388448790884,0.00031731848139315844,6.389348933000292,ok,
parallel_independent,ffill,base_members_half1,member,rnn_seed3,rnn,3.0,0.012133472726146299,0.03682984118754008,4.926586906848216,0.11015204367666674,0.0006820622385721355,0.00031766531174071133,6.513347338999665,ok,
parallel_independent,ffill,base_members_half1,member,rnn_seed4,rnn,4.0,0.013648259913882858,0.04583337279360114,4.18934334403403,0.11682576733701712,0.0006596822742110302,0.00033083115704357624,6.372036258999287,ok,
parallel_independent,ffill,base_members_half1,member,lstm_seed0,lstm,0.0,0.011798567133303494,0.026684401305629237,2.971720833300182,0.10862120940821592,0.0006284643497678092,0.00028762462898157537,7.341964915000062,ok,
parallel_independent,ffill,base_members_half1,member,lstm_seed1,lstm,1.0,0.011747599491396322,0.025071780672763916,2.1415054283033492,0.1083863436572907,0.0006427540215594716,0.00028041054611094296,7.278869407000457,ok,
parallel_independent,ffill,base_members_half1,member,lstm_seed2,lstm,2.0,0.01231659068520171,0.03126835530151347,4.046288638740871,0.11098013644432822,0.0006440148416938017,0.0003239211509935558,7.355788195999594,ok,
parallel_independent,ffill,base_members_half1,member,lstm_seed3,lstm,3.0,0.014217067973639462,0.0676089981105691,8.586442608822557,0.1192353469976058,0.0006437601209292342,0.0004150554595980793,7.45886241900007,ok,
parallel_independent,ffill,base_members_half1,member,lstm_seed4,lstm,4.0,0.011782245867032004,0.024382444136442784,1.93262957066439,0.1085460541292589,0.0006325444115983993,0.00028152746381238103,7.3797804120004,ok,
parallel_independent,ffill,base_members_half1,member,mlp_seed0,mlp,0.0,0.012659560269854979,0.03543499644250236,2.8953032780653545,0.11251471134858312,0.0006522518451594356,0.0002983596932608634,3.2697615839997525,ok,
parallel_independent,ffill,base_members_half1,member,mlp_seed1,mlp,1.0,0.012044806289463894,0.02771335805494939,2.0753636242310987,0.10974883274761466,0.0006424664633438214,0.00028156687039881945,3.253325539999423,ok,
parallel_independent,ffill,base_members_half1,member,mlp_seed2,mlp,2.0,0.012100626578081534,0.028568861784914842,2.860143304495112,0.11000284804531896,0.00061585295753076,0.00029586112941615283,3.003137164999316,ok,
parallel_independent,ffill,base_members_half1,member,mlp_seed3,mlp,3.0,0.01312841883563339,0.053871898487434046,4.936133006597794,0.1145793124243351,0.0006684840895410419,0.00031754947849549353,3.19091563100028,ok,
parallel_independent,ffill,base_members_half1,member,mlp_seed4,mlp,4.0,0.014999077696518606,0.07703611917237087,8.89497745090344,0.12247072179308248,0.0006554280418029006,0.00043334029032848775,3.1235566710001876,ok,
parallel_independent,ffill,base_members_half1,member,tcn_seed0,tcn,0.0,0.011691591386912965,0.024135716354494043,2.0013371073434048,0.10812766245005467,0.000616445680161713,0.0002794752945192158,7.5241146459993615,ok,
parallel_independent,ffill,base_members_half1,member,tcn_seed1,tcn,1.0,0.011944431761339015,0.03883373334978361,4.760574349796849,0.10929058404702124,0.0006399285837092187,0.00031165574910119176,7.488356961999671,ok,
parallel_independent,ffill,base_members_half1,member,tcn_seed2,tcn,2.0,0.01171377403290423,0.031597720008978765,4.039781547424323,0.10823019002526157,0.0006206596914866313,0.000300552521366626,7.361253334999674,ok,
parallel_independent,ffill,base_members_half1,member,tcn_seed3,tcn,3.0,0.011677066325798695,0.02529742143247877,2.3819002651674412,0.10806047531729025,0.0006388211247768249,0.0002811496960930526,7.528773486999853,ok,
parallel_independent,ffill,base_members_half1,member,tcn_seed4,tcn,4.0,0.011763753788985549,0.031873018925643516,3.9617489720528276,0.10846083988696358,0.0006318439215961128,0.00030003144638612866,7.406009173000712,ok,
parallel_independent,ffill,fusion_on_half2,ensemble,linear_fusion,fusion_linear,,0.01166878936658225,0.025149559191460176,2.285593111448061,0.10802217071778483,,,,ok,
parallel_independent,fill_zero,base_members_half1,member,gru_seed0,gru,0.0,0.4910590661290886,0.6005188529419926,56.78807654520644,0.7007560674935955,0.026295371947035327,0.008936106227338314,10.521075968000332,ok,
parallel_independent,fill_zero,base_members_half1,member,gru_seed1,gru,1.0,0.48102878869594967,0.6036479958792283,52.6601185830036,0.6935623899087592,0.026310984754061278,0.009648588486015797,10.451236370000515,ok,
parallel_independent,fill_zero,base_members_half1,member,gru_seed2,gru,2.0,0.4793067139069402,0.6000809217545388,49.21553883796299,0.6923198060917658,0.025955747516281838,0.008757738396525383,10.604324444000667,ok,
parallel_independent,fill_zero,base_members_half1,member,gru_seed3,gru,3.0,0.4787345269138158,0.601191940189367,57.140261229580894,0.6919064437579807,0.026582280124446987,0.009279053658246994,10.544214042000021,ok,
parallel_independent,fill_zero,base_members_half1,member,gru_seed4,gru,4.0,0.48766042426306283,0.6020694895897564,52.70685252461011,0.698326874939711,0.026451714683027393,0.008800403214991093,10.524434404000203,ok,
parallel_independent,fill_zero,base_members_half1,member,rnn_seed0,rnn,0.0,0.5014569083563604,0.6069364458375834,54.0201318130984,0.708136221610193,0.027443596788278197,0.009626692160964012,6.212669218999508,ok,
parallel_independent,fill_zero,base_members_half1,member,rnn_seed1,rnn,1.0,0.49617918850903525,0.6011698113687448,53.84816323344832,0.7043998782715931,0.027186274668613893,0.009107387624680996,6.2081889910004975,ok,
parallel_independent,fill_zero,base_members_half1,member,rnn_seed2,rnn,2.0,0.5062941442874342,0.6134106365675303,52.176396133784856,0.7115434943047644,0.02766071970417964,0.009645982645452023,6.313848518000668,ok,
parallel_independent,fill_zero,base_members_half1,member,rnn_seed3,rnn,3.0,0.524567846353274,0.594656703929503,62.053739186314594,0.7242705615674808,0.028079512652702036,0.009431269951164722,6.3198592560002,ok,
parallel_independent,fill_zero,base_members_half1,member,rnn_seed4,rnn,4.0,0.49101969621449004,0.6017781997128558,53.56983675910295,0.700727975903981,0.02742823070755838,0.008857590146362782,6.403596513000593,ok,
parallel_independent,fill_zero,base_members_half1,member,lstm_seed0,lstm,0.0,0.483036029257524,0.6048846642480824,48.872663031541876,0.6950079346723489,0.026263516280899006,0.00923650898039341,7.30170223299956,ok,
parallel_independent,fill_zero,base_members_half1,member,lstm_seed1,lstm,1.0,0.49009702418933293,0.6025622055107861,51.302378015350534,0.700069299562074,0.026404549730364726,0.008707650937139988,7.344373390999863,ok,
parallel_independent,fill_zero,base_members_half1,member,lstm_seed2,lstm,2.0,0.4726153511274183,0.5995328556878987,51.00856145449574,0.6874702547219176,0.025933356609492177,0.009186621755361557,7.2677297400005045,ok,
parallel_independent,fill_zero,base_members_half1,member,lstm_seed3,lstm,3.0,0.48059213176051097,0.5981323291424536,57.68878512832482,0.693247525607204,0.025739634904054415,0.008869227953255177,7.2668152669994015,ok,
parallel_independent,fill_zero,base_members_half1,member,lstm_seed4,lstm,4.0,0.47868546148096675,0.5978029380522967,52.728948463631696,0.691870986153464,0.02576292120744433,0.008963973261415958,7.333470405999833,ok,
parallel_independent,fill_zero,base_members_half1,member,mlp_seed0,mlp,0.0,0.47578824737913306,0.5990489039842494,53.61671141395473,0.6897740553102393,0.026460520956104835,0.009015456773340702,3.101251764999688,ok,
parallel_independent,fill_zero,base_members_half1,member,mlp_seed1,mlp,1.0,0.50873100605248,0.6132795693816518,44.69061005926898,0.7132538160097568,0.026795574274342673,0.010155091062188148,2.930035170999872,ok,
parallel_independent,fill_zero,base_members_half1,member,mlp_seed2,mlp,2.0,0.48845896015516244,0.6044571514198354,61.912843573915275,0.6988983904368091,0.026569315306512655,0.009457973763346672,3.0032820209999045,ok,
parallel_independent,fill_zero,base_members_half1,member,mlp_seed3,mlp,3.0,0.5055508075439875,0.5965597785364939,61.56292751966871,0.7110209613956452,0.026847671363008235,0.009219452738761902,3.0111702579997655,ok,
parallel_independent,fill_zero,base_members_half1,member,mlp_seed4,mlp,4.0,0.4862975405599569,0.6079642670780254,44.868215702865044,0.6973503714489273,0.026617853580850417,0.010157039389014244,2.977601608000441,ok,
parallel_independent,fill_zero,base_members_half1,member,tcn_seed0,tcn,0.0,0.48419072160673443,0.5984089268563809,49.90825609093349,0.695838143253684,0.026620372701271447,0.008659850805997849,7.298309630999938,ok,
parallel_independent,fill_zero,base_members_half1,member,tcn_seed1,tcn,1.0,0.4888636248525655,0.6027130009248046,46.52494091674797,0.6991878323115795,0.02666531102649406,0.009023044258356094,7.239200062999771,ok,
parallel_independent,fill_zero,base_members_half1,member,tcn_seed2,tcn,2.0,0.4854125755152299,0.601380519951306,50.66721064936047,0.6967155628484482,0.026856693579296095,0.008922192268073559,7.262918118000016,ok,
parallel_independent,fill_zero,base_members_half1,member,tcn_seed3,tcn,3.0,0.48315133440914404,0.6062160061355074,49.4245966183346,0.6950908821220029,0.027007415808275738,0.009391083382070065,7.253906621000169,ok,
parallel_independent,fill_zero,base_members_half1,member,tcn_seed4,tcn,4.0,0.47907500612845033,0.601387932302738,51.49134527384652,0.6921524442840973,0.026592985141725665,0.009203406982123852,7.294591096999284,ok,
parallel_independent,fill_zero,fusion_on_half2,ensemble,linear_fusion,fusion_linear,,0.48048512048979747,0.5993352443777725,51.25684806989991,0.6931703401688487,,,,ok,
parallel_independent,fill_mean,base_members_half1,member,gru_seed0,gru,0.0,0.12837676681632057,0.27281895676859036,35.7295066116543,0.35829703713025673,0.009471595274960309,0.005109650548547506,10.450683875000323,ok,
parallel_independent,fill_mean,base_members_half1,member,gru_seed1,gru,1.0,0.1322798185768735,0.27818491010051843,39.67792016888723,0.3637029262693297,0.009729703282525318,0.005571859888732433,10.482737794000059,ok,
parallel_independent,fill_mean,base_members_half1,member,gru_seed2,gru,2.0,0.13144180380574158,0.27595769561401345,36.50626776334273,0.36254903641540903,0.00977541345987568,0.005157239269465208,10.51011349700002,ok,
parallel_independent,fill_mean,base_members_half1,member,gru_seed3,gru,3.0,0.1292420277455525,0.2709756276896897,36.68265432710076,0.3595024725166052,0.009653109389530347,0.005121584050357342,10.40916039700005,ok,
parallel_independent,fill_mean,base_members_half1,member,gru_seed4,gru,4.0,0.1334290980002409,0.2727957903367619,36.361778089365366,0.36527947930350657,0.009416336041207599,0.004999619442969561,10.5376760930003,ok,
