strategy,model_type,MSE,MAE,MAPE (%),RMSE,train_loss_final,val_loss_final,runtime_sec,status
ffill,gru,2805.7221508892912,41.13297887584194,0.06171636066696792,52.969067868797644,0.00026403001587217055,0.00025734701193869114,14.408720578998327,ok
ffill,lstm,1959.0311313432912,33.26800255857408,0.04986943878179209,44.26094363367427,0.00029553116425328575,0.00012222645455040038,11.867704103002325,ok
ffill,rnn,2549.253849825245,35.15358419191092,0.05277202107776412,50.490136163663145,0.0003863717898234932,0.00009050434164237231,11.62434026900155,ok
fill_mean,gru,127398.163649827,313.98802548289746,0.469971171605359,356.92879352866305,0.008571688779112366,0.013464058749377728,14.429262760997517,ok
fill_mean,lstm,124009.21780262695,231.03791666880693,0.3450071517936808,352.14942539017005,0.00900097947774662,0.011807134374976158,10.951852217000123,ok
fill_mean,rnn,121332.93919537158,285.80724571053383,0.42739185934879564,348.32878031447757,0.008918392989370558,0.012082340195775032,11.363322756002162,ok
window_mean,gru,2687.9194434497686,34.64463359399386,0.05206049733945835,51.84514869734456,0.00027079938574590614,0.00010111404117196798,13.518144066001696,ok
window_mean,lstm,3003.176108320273,44.63223276272416,0.0669584867826775,54.80124185016498,0.0003141812692370473,0.0001926403201650828,12.484258753000177,ok
window_mean,rnn,2243.6305602395864,33.16825766903348,0.04979084891267972,47.36697752907173,0.00029682826166713816,0.00009042851161211729,12.30573344500226,ok
predictive_imputer,gru,2347.8692064392803,35.1898843150221,0.05281878711662978,48.45481613255054,0.000252274334585915,0.00008244918717537075,13.453676961999008,ok
predictive_imputer,lstm,2138.9399484369997,35.279326958973726,0.05292636421581961,46.24867509926095,0.0002662793319258425,0.00007896070746937767,12.079548803001671,ok
predictive_imputer,rnn,3311.7780968563625,43.03810355136993,0.06467689711722266,57.548050330626864,0.0002667110924246824,0.00017647798813413829,11.534072938000463,ok
