strategy,model_type,MSE,MAE,MAPE (%),RMSE,train_loss_final,val_loss_final,runtime_sec,status
ffill,gru,2023.925986097457,31.953352464009075,0.04797327241513268,44.98806492946165,0.00026001256111259053,0.000082320962974336,13.453813269999955,ok
ffill,lstm,2624.659818544518,40.23236946281045,0.06037836186849227,51.231433891162155,0.0002720099314400512,0.00013867004599887878,12.126935280000907,ok
ffill,rnn,2454.5854841129562,34.53481665164232,0.051870877512790736,49.54377341415323,0.00027728980300404754,0.00007558250945294276,11.617066124999837,ok
fill_mean,gru,36826.36124719401,97.64885385674656,0.1460657742504059,191.9019573823936,0.0035195225008970332,0.005566637497395277,11.97842787099944,ok
fill_mean,lstm,37926.209832299406,103.2979518967797,0.15454294722247972,194.74652713796826,0.003659886734870573,0.005488889291882515,11.138817236998875,ok
fill_mean,rnn,40607.38514950087,97.80299250261157,0.14628166536738152,201.512741903585,0.003698216890916228,0.00579542201012373,11.576937330999499,ok
window_mean,gru,3275.565178306097,46.71638651760919,0.06997546965715934,57.2325534840627,0.0002503732600921972,0.0001997880608541891,13.421994059001008,ok
window_mean,lstm,1676.3555901220836,29.47089557869991,0.0441872349449374,40.94332167914669,0.0002649338068699257,0.0000755494402255863,12.585465766998823,ok
window_mean,rnn,2264.4427083965415,34.731629489716234,0.052139983146831395,47.58616089155062,0.00032439535279991103,0.0000755686269258149,11.713049780999427,ok
predictive_imputer,gru,1777.0885314890545,30.599223891474303,0.04590311289616526,42.155527887681046,0.00024874153734546985,0.00007549821020802483,13.700968832999934,ok
predictive_imputer,lstm,1761.8428080937874,31.309937719497047,0.046958250530065755,41.97431128790308,0.0002583643453868313,0.00007360205199802294,12.645334108001407,ok
predictive_imputer,rnn,3135.785713141736,43.34404740639331,0.06510356052158109,55.99808669179453,0.0003147089139222064,0.0001008519102470018,11.881945085999178,ok
