,round,model_id,MSE,MAE,MAPE (%),RMSE,runtime_sec,status,strategy,strategy_label
1205,1,global_aggregated,0.0005920242166699849,0.005728810786912176,4.4215719272482445,0.024331547765606382,1.5996964000005391,ok,fill_mean,Fill with column mean
1211,2,global_aggregated,0.0005876594432980747,0.005027503971630182,6.624875531882342,0.02424168812805896,1.6318566999998438,ok,fill_mean,Fill with column mean
1217,3,global_aggregated,0.0006176033723735932,0.006816268325553106,6.537431691905544,0.024851627157463817,1.4838012000000163,ok,fill_mean,Fill with column mean
1223,4,global_aggregated,0.0006935370124641655,0.00737750465975024,5.478659013026103,0.026335090895308593,2.0127771999996185,ok,fill_mean,Fill with column mean
1229,5,global_aggregated,0.0006363830891426194,0.006096968037366418,5.082023677679237,0.025226634518750603,1.8590946000003896,ok,fill_mean,Fill with column mean
1235,6,global_aggregated,0.0006492567963885059,0.007194669029049717,6.449172976257983,0.02548051797724108,1.8051281000007293,ok,fill_mean,Fill with column mean
1241,7,global_aggregated,0.000609358416678252,0.0048074038940564365,5.613997268976185,0.024685186178723707,1.586021699999037,ok,fill_mean,Fill with column mean
1247,8,global_aggregated,0.0007937597246947286,0.01297836585318177,7.935688662637272,0.028173741758856393,1.5121407000006002,ok,fill_mean,Fill with column mean
1253,9,global_aggregated,0.0007471705420677807,0.012394051238601473,7.3285323577169255,0.02733442046336049,2.0480378000011115,ok,fill_mean,Fill with column mean
1259,10,global_aggregated,0.000696103531364221,0.008759505720458388,4.913417882050744,0.026383774016698613,1.6361871999997675,ok,fill_mean,Fill with column mean
1265,11,global_aggregated,0.0006105891443501719,0.005569942277254967,4.951231771433787,0.02471010207081654,1.709658900001159,ok,fill_mean,Fill with column mean
1271,12,global_aggregated,0.0010868173883033744,0.018637640672072794,10.752053948774929,0.03296691353923467,1.722448099999383,ok,fill_mean,Fill with column mean
1277,13,global_aggregated,0.0006364182241411487,0.006335606826412264,5.728221345941151,0.02522733089609657,1.8155775000013818,ok,fill_mean,Fill with column mean
1283,14,global_aggregated,0.000597012044777743,0.009728472609017425,7.841687332014885,0.02443382992446626,1.763616699998238,ok,fill_mean,Fill with column mean
1289,15,global_aggregated,0.0006271049097269961,0.007953533837273454,5.877586401128658,0.025042062808942,1.5932071000006545,ok,fill_mean,Fill with column mean
1295,16,global_aggregated,0.0007373904739065124,0.009628614339368452,7.348505219140875,0.027154934614292713,1.6767978000007133,ok,fill_mean,Fill with column mean
1301,17,global_aggregated,0.000753094136825603,0.010733313014135593,7.046444950214125,0.027442560682735186,1.5485719999996945,ok,fill_mean,Fill with column mean
1307,18,global_aggregated,0.0006051534171757485,0.006451690049235264,6.845205857322097,0.02459986620239526,1.6861888000003091,ok,fill_mean,Fill with column mean
1313,19,global_aggregated,0.0007640179581413911,0.010527480454350617,6.777485625124107,0.027640874771638308,1.7510604000017338,ok,fill_mean,Fill with column mean
1319,20,global_aggregated,0.0007949558324403387,0.013720324188024897,8.470442523401884,0.028194961117907907,1.629322199998569,ok,fill_mean,Fill with column mean
1325,21,global_aggregated,0.0007913496971225562,0.013662138290541272,7.515838074480451,0.028130938433023455,1.6781651999990572,ok,fill_mean,Fill with column mean
1331,22,global_aggregated,0.0011419630449748426,0.022991607813040927,15.349789093490287,0.03379294371573513,1.6883197000006476,ok,fill_mean,Fill with column mean
1337,23,global_aggregated,0.0006977533779136371,0.009714141357142759,7.7598697153509075,0.026415021823077055,1.478263799999695,ok,fill_mean,Fill with column mean
1343,24,global_aggregated,0.0006831963579920137,0.008638190506950876,4.157484000129312,0.026138025135652727,1.4784127000002627,ok,fill_mean,Fill with column mean
